RecordKey,CustomerName,LicenseCode,LicenseCategory,AsOfDate,PurchasedUnits,UtilizedUnits,UtilizationPercent
AAA Club Alliance Inc.|2688-4062-9282-0153|Unattended Production License|2025-02-28,AAA Club Alliance Inc.,2688-4062-9282-0153,Unattended Production License,2025-02-28,1,0,0
AAA Club Alliance Inc.|8015-8735-1337-1745|Unattended Production License|2026-07-31,AAA Club Alliance Inc.,8015-8735-1337-1745,Unattended Production License,2026-07-31,9,9,100
AAA Club Alliance Inc.|8015-8735-1337-1745|NonProduction Robot License|2026-07-31,AAA Club Alliance Inc.,8015-8735-1337-1745,NonProduction Robot License,2026-07-31,0,5,
AAA Club Alliance Inc.|8015-8735-1337-1745|Unattended Test Robot License|2026-07-31,AAA Club Alliance Inc.,8015-8735-1337-1745,Unattended Test Robot License,2026-07-31,3,4,133.33
AAA Club Alliance Inc.|2688-4062-9282-0153|Unattended Test Robot License|2025-02-28,AAA Club Alliance Inc.,2688-4062-9282-0153,Unattended Test Robot License,2025-02-28,1,0,0
AAA Club Alliance Inc.|2688-4062-9282-0153|User Licenses|2025-02-28,AAA Club Alliance Inc.,2688-4062-9282-0153,User Licenses,2025-02-28,11,0,0
AAA Club Alliance Inc.|8015-8735-1337-1745|User Licenses|2026-07-31,AAA Club Alliance Inc.,8015-8735-1337-1745,User Licenses,2026-07-31,27,12,44.44
AAA Club Alliance Inc.|2688-4062-9282-0153|AI Units|2025-02-28,AAA Club Alliance Inc.,2688-4062-9282-0153,AI Units,2025-02-28,1,0,0
AAA Club Alliance Inc.|8015-8735-1337-1745|AI Units|2026-08-09,AAA Club Alliance Inc.,8015-8735-1337-1745,AI Units,2026-08-09,180000,43100,23.94
"ADVENT INTERNATIONAL, L.P.|9938-1992-7831-0909|Unattended Production License|2026-07-31","ADVENT INTERNATIONAL, L.P.",9938-1992-7831-0909,Unattended Production License,2026-07-31,10,9,90
"ADVENT INTERNATIONAL, L.P.|386722067079108799|Unattended Production License|2023-11-30","ADVENT INTERNATIONAL, L.P.",386722067079108799,Unattended Production License,2023-11-30,2,0,0
"ADVENT INTERNATIONAL, L.P.|1976-7905-6363-0280|Unattended Production License|2026-07-31","ADVENT INTERNATIONAL, L.P.",1976-7905-6363-0280,Unattended Production License,2026-07-31,50,50,100
"ADVENT INTERNATIONAL, L.P.|386779576618218477|NonProduction Robot License|2023-12-31","ADVENT INTERNATIONAL, L.P.",386779576618218477,NonProduction Robot License,2023-12-31,3,0,0
"ADVENT INTERNATIONAL, L.P.|386722067079108799|NonProduction Robot License|2023-11-30","ADVENT INTERNATIONAL, L.P.",386722067079108799,NonProduction Robot License,2023-11-30,3,0,0
"ADVENT INTERNATIONAL, L.P.|9938-1992-7831-0909|NonProduction Robot License|2026-07-31","ADVENT INTERNATIONAL, L.P.",9938-1992-7831-0909,NonProduction Robot License,2026-07-31,0,3,
"ADVENT INTERNATIONAL, L.P.|9938-1992-7831-0909|Unattended Test Robot License|2026-07-31","ADVENT INTERNATIONAL, L.P.",9938-1992-7831-0909,Unattended Test Robot License,2026-07-31,6,6,100
"ADVENT INTERNATIONAL, L.P.|9938-1992-7831-0909|User Licenses|2026-07-31","ADVENT INTERNATIONAL, L.P.",9938-1992-7831-0909,User Licenses,2026-07-31,105,11,10.48
"ADVENT INTERNATIONAL, L.P.|0624-0042-7948-1336|User Licenses|2026-01-31","ADVENT INTERNATIONAL, L.P.",0624-0042-7948-1336,User Licenses,2026-01-31,0,2,
"ADVENT INTERNATIONAL, L.P.|386722067079108799|User Licenses|2023-11-30","ADVENT INTERNATIONAL, L.P.",386722067079108799,User Licenses,2023-11-30,9,0,0
"ADVENT INTERNATIONAL, L.P.|386779576618218477|User Licenses|2023-12-31","ADVENT INTERNATIONAL, L.P.",386779576618218477,User Licenses,2023-12-31,2,0,0
"ADVENT INTERNATIONAL, L.P.|1976-7905-6363-0280|User Licenses|2026-07-31","ADVENT INTERNATIONAL, L.P.",1976-7905-6363-0280,User Licenses,2026-07-31,190,16,8.42
